3/1/16	433								
3/1/16	650	3/2/16	650	3/3/16	650	3/4/16	650	3/5/16	650
3/1/16	2697								
3/1/16	3124								
3/1/16	3162	3/2/16	3162	3/3/16	3162	3/4/16	3162	3/5/16	3162
3/1/16	4413	3/2/16	4413	3/3/16	4413	3/4/16	4413	3/5/16	4413
3/1/16	5026								
3/1/16	5478	3/2/16	5478	3/3/16	5478	3/4/16	5478	3/5/16	5478
3/1/16	5509	3/2/16	5509	3/3/16	5509	3/4/16	5509	3/5/16	5509
3/1/16	5990	3/2/16	5990	3/3/16	5990	3/4/16	5990	3/5/16	5990
3/1/16	6030								
3/1/16	7460	3/2/16	7460	3/3/16	7460	3/4/16	7460	3/5/16	7460
3/1/16	7865	3/2/16	7865	3/3/16	7865	3/4/16	7865	3/5/16	7865
3/1/16	7897	3/2/16	7897	3/3/16	7897	3/4/16	7897	3/5/16	7897
3/1/16	7978	3/2/16	7978	3/3/16	7978	3/4/16	7978	3/5/16	7978
3/1/16	8150	3/2/16	8150	3/3/16	8150	3/4/16	8150	3/5/16	8150
3/1/16	8878	3/2/16	8878	3/3/16	8878	3/4/16			
3/1/16	9630	3/2/16	9630	3/3/16	9630	3/4/16	9630	3/5/16	9630
3/1/16	11209	3/2/16	11209	3/3/16	11209	3/4/16	11209	3/5/16	11209
3/1/16	11587	3/2/16							
3/1/16	12371	3/2/16	12371	3/3/16	12371	3/4/16	12371	3/5/16	12371
3/1/16	12423	3/2/16	12423	3/3/16	12423	3/4/16	12423	3/5/16	12423
3/1/16	16014	3/2/16							
3/1/16	18050	3/2/16							
3/1/16	19516	3/2/16							
3/1/16	19773	3/2/16	19773	3/3/16	19773	3/4/16	19773	3/5/16	19773
3/1/16	19963	3/2/16	19963	3/3/16	19963	3/4/16	19963	3/5/16	19963
3/1/16	20811	3/2/16	20811	3/3/16	20811	3/4/16	20811	3/5/16	20811
3/1/16	20888	3/2/16	20888	3/3/16	20888	3/4/16	20888	3/5/16	20888
3/1/16	21372	3/2/16	21372	3/3/16	21372	3/4/16	21372	3/5/16	21372
3/1/16	21743	3/2/16							
3/1/16	22165	3/2/16	22165	3/3/16	22165	3/4/16	22165	3/5/16	22165
3/1/16	22467	3/2/16							
3/1/16	22750	3/2/16							
3/1/16	22780	3/2/16							
3/1/16	22917	3/2/16	22917	3/3/16	22917	3/4/16	22917	3/5/16	22917
3/1/16	22949	3/2/16	22949	3/3/16	22949	3/4/16	22949	3/5/16	22949
3/1/16	24095	3/2/16	24095	3/3/16	24095	3/4/16	24095	3/5/16	24095
3/1/16	24576	3/2/16	24576	3/3/16	24576	3/4/16	24576	3/5/16	24576
3/1/16	25226	3/2/16							
3/1/16	26093	3/2/16	26093	3/3/16	26093	3/4/16	26093	3/5/16	26093
3/1/16	26170	3/2/16							
3/1/16	26468	3/2/16	26468	3/3/16	26468	3/4/16	26468	3/5/16	26468
3/1/16	26955	3/2/16							
3/1/16	27064	3/2/16	27064	3/3/16	27064	3/4/16	27064	3/5/16	27064
3/1/16	30082	3/2/16	30082	3/3/16	30082	3/4/16	30082	3/5/16	30082
3/1/16	31247	3/2/16							
3/1/16	31263	3/2/16							
3/1/16	32455	3/2/16	32455	3/3/16	32455	3/4/16	32455	3/5/16	32455
3/1/16	33323	3/2/16	33323	3/3/16	33323	3/4/16	33323	3/5/16	33323
3/1/16	33863	3/2/16	33863	3/3/16	33863	3/4/16	33863	3/5/16	33863
3/1/16	34234	3/2/16	34234	3/3/16	34234	3/4/16	34234	3/5/16	34234
3/1/16	34294	3/2/16	34369	3/3/16	34369	3/4/16	34369	3/5/16	34369
3/1/16	34369	3/2/16	36594	3/3/16	36594	3/4/16	36594	3/5/16	36594
3/1/16	36594	3/2/16	37997	3/3/16	37997	3/4/16	37997	3/5/16	37997
3/1/16	37492	3/2/16	38962	3/3/16	38962	3/4/16	38962	3/5/16	38962
3/1/16	37997	3/2/16	39091	3/3/16	41057	3/4/16	41057	3/5/16	39091
3/1/16	38962	3/2/16	41057	3/3/16	42973	3/4/16	42973	3/5/16	41057
3/1/16	39091	3/2/16	42973	3/3/16	44791	3/4/16	44791	3/5/16	42973
3/1/16	41057	3/2/16	44791	3/3/16	48490	3/4/16	48490	3/5/16	44791
3/1/16	41618	3/2/16	48490	3/3/16	49340	3/4/16	49340	3/5/16	48490
3/1/16	42225	3/2/16	49340	3/3/16	51132	3/4/16	51132	3/5/16	49340
3/1/16	42973	3/2/16	51132	3/3/16	51548	3/4/16	51548	3/5/16	51132
3/1/16	43192	3/2/16	51548	3/3/16	53295	3/4/16	53342	3/5/16	51548
3/1/16	44791		53295	3/3/16	53342	3/4/16	54113	3/5/16	53342
3/1/16	48490		53342	3/3/16	54113	3/4/16	54408	3/5/16	54113
3/1/16	49340		54113	3/3/16	54408	3/4/16	55374	3/5/16	54408
3/1/16	51132		54408	3/3/16	55374	3/4/16	56707	3/5/16	55374
3/1/16	51548		55374	3/3/16	56707	3/4/16	78408	3/5/16	56707
3/1/16	53072		56707	3/3/16	78408		81314	3/5/16	81314
3/1/16	53295		62640						
3/1/16	53342		66648						
3/1/16	54045		70115						
3/1/16	54113		83913						
3/1/16	54408		95648						
3/1/16	55374		97530						
3/1/16	56707		98981						
3/1/16	56909								
3/1/16	57527								
3/1/16	58141								
3/1/16	59792								
3/1/16	62640								
3/1/16	63800								
3/1/16	64790								
3/1/16	66648								
3/1/16	67815								
3/1/16	70115								
3/1/16	73695								
3/1/16	75233								
3/1/16	77217								
3/1/16	78993								
3/1/16	79136								
3/1/16	79278								
3/1/16	80744								
3/1/16	81314								
3/1/16	81338								
3/1/16	83371								
3/1/16	83509								
3/1/16	83913								
3/1/16	83968								
3/1/16	84441								
3/1/16	88484								
3/1/16	89164								
3/1/16	89737								
3/1/16	91573								
3/1/16	92239								
3/1/16	92654								
3/1/16	94251								
3/1/16	95335								
3/1/16	95648								
3/1/16	97530								
3/1/16	98981								
